50,73,287,-719.27751273,1459730117147,0.0,0.0,('', ' + ', nan),nan,nan,nan,nan,nan,nan,nan,nan,1
53,75,290,-697.699187348,1459730147838,0.0,0.0,('', ' + ', nan),nan,nan,nan,nan,nan,nan,nan,nan,1
53,74,290,-697.699187348,1459730178556,0.0,0.0,('', ' + ', nan),nan,nan,nan,nan,nan,nan,nan,nan,1
53,75,292,-683.313637093,1459730209239,0.0,0.0,('', ' + ', nan),nan,nan,nan,nan,nan,nan,nan,nan,1
53,74,292,-683.313637093,1459730239966,0.0,0.0,('', ' + ', nan),nan,nan,nan,nan,nan,nan,nan,nan,1
53,76,290,-697.699187348,1459730270689,0.0,0.0,('', ' + ', nan),nan,nan,nan,nan,nan,nan,nan,nan,1
53,73,116,-1388.20559957,1459730332419,0.0,0.0,('', ' + ', nan),nan,nan,nan,nan,nan,nan,nan,nan,1
52,71,269,-287.711005092,1459730363091,0.0,0.0,('', ' + ', nan),nan,nan,nan,nan,nan,nan,nan,nan,1
53,71,271,-273.325454837,1459730393765,0.0,0.0,('', ' + ', nan),nan,nan,nan,nan,nan,nan,nan,nan,1
51,72,270,-280.518229965,1459730424437,0.0,0.0,('', ' + ', nan),nan,nan,nan,nan,nan,nan,nan,nan,1
